ID_Regla,Nombre,Etapa,Scope,Tipo_Accion,Hook,Condicion_JSON,Payload_JSON,Prioridad,Acumulable,Activo,Updated_At
R_AUT_0011,"Maximo 50 pax - Espacio del Bar para karaoke, hasta 50 personas por 4 hrs noche",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_ESPACIO_DEL_BAR_PARA_KARAOKE_HASTA_50_PERSONAS_POR_4_HRS_NOCHE""]},{"">"":[{""var"":""item.pax""},50]}]}","{""message"":""Este item permite maximo 50 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0012,"Maximo 250 pax - Domo para fiestas con fogata, hasta 250 personas, 4 horas noche",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_DOMO_PARA_FIESTAS_CON_FOGATA_HASTA_250_PERSONAS_4_HORAS_NOCHE""]},{"">"":[{""var"":""item.pax""},250]}]}","{""message"":""Este item permite maximo 250 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0013,"Maximo 50 pax - Lounge en terrazas (sillones, mesas y fogones), hasta 50 pax. Valor  persona",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_LOUNGE_EN_TERRAZAS_SILLONES_MESAS_Y_FOGONES_HASTA_50_PAX_VALOR_PERSONA""]},{"">"":[{""var"":""item.pax""},50]}]}","{""message"":""Este item permite maximo 50 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0014,"Minimo 30 pax - Cambio de horario del desayuno 1 hora, minimo 30 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CAMBIO_DE_HORARIO_DEL_DESAYUNO_1_HORA_MINIMO_30_PERSONAS""]},{""<"":[{""var"":""item.pax""},30]}]}","{""message"":""Este item requiere minimo 30 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0015,"Minimo 30 pax - Cambio de horario del desayuno por media hora , minimo 30 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CAMBIO_DE_HORARIO_DEL_DESAYUNO_POR_MEDIA_HORA_MINIMO_30_PERSONAS""]},{""<"":[{""var"":""item.pax""},30]}]}","{""message"":""Este item requiere minimo 30 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0016,"Minimo 30 pax - Cambio de horario de almuerzo por media hora, minimo 30 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CAMBIO_DE_HORARIO_DE_ALMUERZO_POR_MEDIA_HORA_MINIMO_30_PERSONAS""]},{""<"":[{""var"":""item.pax""},30]}]}","{""message"":""Este item requiere minimo 30 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0017,"Minimo 30 pax - Cena o Almuerzo parrilla, 30 o mas  pax",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CENA_O_ALMUERZO_PARRILLA_30_O_MAS_PAX""]},{""<"":[{""var"":""item.pax""},30]}]}","{""message"":""Este item requiere minimo 30 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0018,"Maximo 29 pax - Cena o Almuerzo parrilla, menos de 30 pax",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CENA_O_ALMUERZO_PARRILLA_MENOS_DE_30_PAX""]},{"">"":[{""var"":""item.pax""},29]}]}","{""message"":""Este item permite maximo 29 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0019,"Minimo 10 pax - Cata de vinos con somelier, minimo 10 personas y hasta 40.  Duración 1 hora",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_CATA_DE_VINOS_CON_SOMELIER_MINIMO_10_PERSONAS_Y_HASTA_40_DURACION_1_HORA""]},{""<"":[{""var"":""item.pax""},10]}]}","{""message"":""Este item requiere minimo 10 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0020,Minimo 20 pax - Picoteo parrillando con amigos: minimo 20 personas,RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_PICOTEO_PARRILLANDO_CON_AMIGOS_MINIMO_20_PERSONAS""]},{""<"":[{""var"":""item.pax""},20]}]}","{""message"":""Este item requiere minimo 20 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0021,"Minimo 20 pax - Aperitivo tematico: Jugando en la barra, minimo 20 personas. Maximo 1,5 horas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_APERITIVO_TEMATICO_JUGANDO_EN_LA_BARRA_MINIMO_20_PERSONAS_MAXIMO_1_5_HORAS""]},{""<"":[{""var"":""item.pax""},20]}]}","{""message"":""Este item requiere minimo 20 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0022,"Minimo 15 pax - Coctail basico, minimo 15 pasajeros.",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COCTAIL_BASICO_MINIMO_15_PASAJEROS""]},{""<"":[{""var"":""item.pax""},15]}]}","{""message"":""Este item requiere minimo 15 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0023,"Minimo 15 pax - Coctail chileno, minimo 15 pasajeros.",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COCTAIL_CHILENO_MINIMO_15_PASAJEROS""]},{""<"":[{""var"":""item.pax""},15]}]}","{""message"":""Este item requiere minimo 15 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0024,"Maximo 50 pax - Pierna de cerdo 16 hrs al horno, con amasado y 3 salsas para picoteo",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_PIERNA_DE_CERDO_16_HRS_AL_HORNO_CON_AMASADO_Y_3_SALSAS_PARA_PICOTEO""]},{"">"":[{""var"":""item.pax""},50]}]}","{""message"":""Este item permite maximo 50 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0027,"Minimo 4 pax - Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_PASEOS_A_CABALLO_EXCLUSIVOS_MINIMO_4_PASAJEROS_DURACION_3_4_HORAS_MAXIMO_20_PERSONAS""]},{""<"":[{""var"":""item.pax""},4]}]}","{""message"":""Este item requiere minimo 4 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0028,"Maximo 20 pax - Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_PASEOS_A_CABALLO_EXCLUSIVOS_MINIMO_4_PASAJEROS_DURACION_3_4_HORAS_MAXIMO_20_PERSONAS""]},{"">"":[{""var"":""item.pax""},20]}]}","{""message"":""Este item permite maximo 20 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
